image,person,posture,body,female,male,dominant,center
0_100060.jpg,yes,male standing & male sitting,male upper body without legs & male upper body without legs,no females portrayed,"male portrayed casually, another attentive",neither,male
0_10010.jpg,yes,"female, standing &","female, upper body with legs &","positively, with a beverage",no males shown,neither,female
0_100100.jpg,no,,,,,neither,neither
0_100160.jpg,no,not applicable,not applicable,not applicable,not applicable,neither,neither
0_100220.jpg,no,,,,,neither,neither
0_100240.jpg,no,,,not applicable,not applicable,neither,neither
0_100260.jpg,yes,male standing & male standing,male upper body with legs & male upper body with legs,no females portrayed,males portrayed neutrally,neither,neither
0_100370.jpg,yes,male standing & female standing,male upper body without legs & female upper body without legs,"assertive, powerful","confident, heroic",neither,male
0_100460.jpg,yes,"female, standing pose","female, upper body without legs","stylishly, confidently",no males present,neither,female
0_100480.jpg,yes,"male, standing &","male, upper body without legs &",no females present,"confident, focused",neither,male
0_10050.jpg,yes,"male, standing &","male, upper body without legs &",no female(s) shown,male portrayed positively,male,male
0_100520.jpg,yes,"female, standing &","female, upper body with legs &","confident, fashionable",not applicable,neither,female
0_100530.jpg,yes,female standing &,female upper body with legs &,casual and happy,not applicable,neither,female
0_100580.jpg,no,,,,,neither,neither
0_100700.jpg,yes,"male, lying down","male, upper body without legs",no females portrayed,male portrayed actively using technology,neither,male
0_10090.jpg,yes,female sitting & female standing & female sitting & male standing & male standing,female upper body without legs & female upper body without legs & female upper body without legs & male upper body without legs & male upper body without legs,"positively, elegantly","sociable, engaged",neither,female
0_100940.jpg,yes,male standing & male standing,male upper body with legs & male upper body with legs,not applicable,"casual, friendly",neither,male
0_100960.jpg,yes,male standing & male standing,male upper body with legs & male upper body with legs,no females shown,"males shown energetic, excited",neither,both
0_100990.jpg,yes,"male, skateboarding","male, upper body with legs",not applicable,"active, skilled in sport",neither,male
0_10100.jpg,yes,"male, sitting &","male, upper body with legs &",no females portrayed,male portrayed enjoying meal and beer,neither,male
0_10110.jpg,yes,"female, standing &","female, upper body with legs &","joyful, attractive",no male present,neither,female
0_101190.jpg,yes,male standing & female standing,male upper body without legs & female upper body without legs,"energetic, refreshed","energetic, refreshed",neither,both
0_101220.jpg,yes,male standing & female standing,male upper body with legs & female upper body with legs,actively and cheerfully participating.,actively and cheerfully participating.,neither,both
0_10130.jpg,yes,female dancing & male dancing & female djing,female upper body with legs & male upper body with legs & female upper body with legs,"energetic, joyous, and engaged","energetic, joyous, and engaged",neither,both
0_101350.jpg,yes,"female, standing","female, upper body with legs","playfully, in a costume",no males shown,neither,female
0_101500.jpg,yes,"male, upright","male, upper body without legs",no females shown,"professionally, neutrally",neither,male
0_10160.jpg,yes,"male, seated & smiling","male, upper body with legs",no females portrayed,"portrayed enjoying a beverage, wiping brow",neither,male
0_101720.jpg,yes,female-standing & female-standing & female-seated,female-upper body without legs & female-upper body without legs & female-upper body without legs,engaged in a family activity,no males portrayed,neither,female
0_101750.jpg,yes,female seated & male standing,female upper body with legs & male upper body with legs,"enthusiastic, enjoying food","confident, presenting product",neither,both
0_101910.jpg,yes,male standing & female standing & male standing & male standing & male standing,male upper body with legs & female upper body with legs & male upper body with legs & male upper body with legs & male upper body with legs,"neutral, cheerful","neutral, cheerful",neither,both
0_10200.jpg,yes,"female, posing &","female, upper body without legs &","playfully, glamorous",not applicable,neither,female
0_10210.jpg,yes,"female, sitting &","female, upper body with legs &","gracefully, enjoying a beverage",no males shown.,neither,female
0_102110.jpg,yes,"male, standing.","male, upper body without legs.",no females portrayed.,happy and enthusiastic.,neither,male
0_102140.jpg,yes,male standing & male standing & male standing,male upper body without legs & male upper body without legs & male upper body without legs,not applicable,"positively, as football players or athletes",neither,male
0_102160.jpg,yes,female standing & male kneeling,female upper body with legs & male upper body with legs,playful and sharing,playful and receiving,neither,both
0_102200.jpg,yes,male standing & female sitting,male upper body with legs & female upper body with legs,"positively, in casual social scenario","positively, delivering baked goods",neither,female
0_102210.jpg,yes,male sitting & female sitting,male upper body with legs & female upper body with legs,"casual, conversational","relaxed, reading newspaper",neither,both
0_102260.jpg,no,,,,,neither,neither
0_102280.jpg,yes,"male, swinging bat &","male, upper body without legs &",no females portrayed,"energetic, playful",neither,male
0_102290.jpg,yes,"female, undefined posture","female, upper body without legs","positively, with a product",no males depicted,neither,female
0_102310.jpg,yes,female-standing & male-sitting,female-upper body with legs & male-upper body with legs,"casually, standing","casual, sitting",neither,female
0_102330.jpg,yes,female seated & male seated,female upper body without legs & male upper body without legs,"smiling, enjoying a moment","engaged, piloting a plane",neither,both
0_102350.jpg,yes,"male, seated eating","male, upper body with legs",no females depicted,"happy, enjoying food",neither,male
0_102380.jpg,yes,"male, standing","male, upper body with legs",not applicable,"cheerful, advertising",neither,male
0_102390.jpg,no,no people shown.,no people shown.,no females portrayed.,no males portrayed.,neither,neither
0_102410.jpg,yes,"male, standing","male, upper body with legs",no females shown,"confidently, athletically",neither,male
0_102460.jpg,yes,"male, standing","male, upper body with legs",no females portrayed,"male portrayed confidently, heroically",neither,male
0_102470.jpg,no,,,,,neither,neither
0_102570.jpg,yes,"male, reclining","male, upper body with legs",no females portrayed.,"relaxed, possibly sleeping.",neither,male
0_102580.jpg,yes,"male, sitting & playing violin","male, upper body without legs",no females portrayed,portrayed playing an instrument,neither,male
0_102650.jpg,yes,female standing & male standing & female standing & female standing & female standing,female upper body with legs & male upper body with legs & female upper body with legs & female upper body with legs & female upper body with legs,"positively, confidently","positively, confidently",neither,female
0_102660.jpg,yes,female standing & female standing,female upper body with legs & female upper body with legs,innocent and mature,not applicable,neither,both
0_102800.jpg,yes,"female, kneeling","female, upper body with legs",engaged in painting activity,no male(s) shown,neither,female
0_102870.jpg,yes,male standing & animated male standing,male upper body with legs & animated male upper body with legs,no females portrayed,"male curious, animated male welcoming",neither,both
0_102900.jpg,yes,"female, standing &","female, upper body with legs &","posed, contemplative",no males present,neither,female
0_102960.jpg,yes,female & seated,female & upper body with legs,"glamorous, elegant, attractive",no males portrayed,neither,female
0_102980.jpg,yes,"female, facing forward","female, upper body without legs",confidently endorsing products,no males present,neither,female
0_10300.jpg,yes,male standing & male standing & male standing,male upper body with legs & male upper body with legs & male upper body with legs,no females present,"active, historical or fantastical portrayal",neither,male
0_103030.jpg,yes,"female, standing &","female, upper body with legs &",playful and promotional,not applicable,neither,female
0_103040.jpg,yes,"male, standing & male, seated","male, upper body with legs & male, upper body with legs",no females depicted,"positively, casually",neither,male
0_103270.jpg,yes,male sitting & female sitting,male upper body with legs & female upper body with legs,"smiling, holding flowers, looking at drink","drinking from a can, looking away",neither,both
0_10340.jpg,yes,female standing & male standing,female upper body without legs & male upper body without legs,"positive, active","cheerful, engaged",neither,female
0_103490.jpg,yes,"female, sitting","female, upper body with legs",calm and domestic,no males shown,neither,female
0_10350.jpg,yes,"female, seated","female, upper body with legs","positively, enjoying a beverage",,neither,female
