image,appropriate,reason,subject
0_100950.jpg,yes,no inappropriate content shown.,male
0_101170.jpg,yes,it's a non-offensive advertisement.,all
0_103020.jpg,no,"dress length, pose.",female
0_10470.jpg,no,"suggestive content, alcohol reference",all
0_10510.jpg,no.,revealing attire shown.,female.
0_105440.jpg,yes,dress is modest and formal.,female
0_105730.jpg,no,swimwear might be sensitive.,female
0_105880.jpg,yes,"fully clothed, non-provocative.",all
0_106780.jpg,no,shows woman in swimwear,female
0_107960.jpg,no.,implied nudity might offend.,female.
0_112980.jpg,yes,creativity without explicit content.,female
0_115640.jpg,yes,"fully clothed, non-provocative.",female
0_116200.jpg,no,implied nudity present.,female
0_116210.jpg,no,nudity present in image.,female
0_116300.jpg,,,
0_116310.jpg,yes.,"fully clothed, non-provocative.",male.
0_116330.jpg,no.,nudity present.,female.
0_116360.jpg,no.,"suggestive content, visually provocative.",female.
0_116370.jpg,no,revealing attire shown,female
0_116410.jpg,,,
0_116430.jpg,no,revealing clothing; bare legs,female
0_116440.jpg,no.,revealing attire displayed.,female.
0_116470.jpg,no,implies nudity; possibly offensive.,female
0_116510.jpg,no,shirtless male depicted,male
0_116550.jpg,no.,nudity; culturally sensitive.,female.
0_11760.jpg,no;,possibly revealing clothing;,female.
0_118230.jpg,yes.,"ad depicts fashion, not explicit.",female.
0_120590.jpg,yes,athlete in standard sportswear,female
0_121250.jpg,yes,it's sports apparel.,male
0_12360.jpg,no.,intimate gesture with inanimate object.,female.
0_124180.jpg,yes,athletic event promotion.,male
0_124260.jpg,no,partial nudity shown.,female
0_124270.jpg,no,revealing clothing; pose may offend,female
0_125840.jpg,no,suggested sensuality in pose,female
0_129350.jpg,yes.,modest dress and pose.,female.
0_130180.jpg,no,underwear-clad women displayed,female
0_130190.jpg,no,"lingerie-ad, suggestive pose.",female
0_130210.jpg,no.,"sensuality, partial nudity displayed.",female.
0_130270.jpg,no,swimwear may be revealing.,female
0_131680.jpg,no,revealing attire shown,female
0_133680.jpg,no,implied nudity; suggestive pose.,female
0_134630.jpg,no.,revealing attire; body exposure.,female.
0_135070.jpg,,,
0_135350.jpg,no,revealing swimwear depicted.,female
0_137160.jpg,no,graphic simulated violence,all
0_137170.jpg,yes.,fully clothed exercise scene.,male.
0_137440.jpg,no,swimsuit advertisement; cultural norms,female
0_137750.jpg,yes.,fictional animal character depicted.,all.
0_137890.jpg,no,lingerie visible; suggestive pose.,female
0_138080.jpg,yes,cultural perceptions vary greatly,female
0_140870.jpg,no,bikini-clad woman displayed,female
0_142190.jpg,no,implied nudity; cultural sensitivities,female
0_145360.jpg,yes.,no inappropriate content shown.,male.
0_148740.jpg,yes.,no revealing clothing.,all.
0_151720.jpg,no,"revealing clothing, suggestive pose.",female
0_152480.jpg,yes.,"casual, normal clothing.",all.
0_154400.jpg,no,partial nudity visible,female
0_156200.jpg,no.,implied nudity; intimate setting.,male.
0_156270.jpg,yes.,it's an advertisement.,female.
0_156310.jpg,no,revealing clothing style.,female
0_157400.jpg,no,suggestive pose and attire,female
0_157430.jpg,no,lingerie-clad models displayed.,female
0_157480.jpg,no.,revealing clothing and poses.,female.
0_157510.jpg,no,revealing clothing; provocative pose,female
0_157520.jpg,no,revealing swimwear depicted.,female
0_157550.jpg,no,lingerie model depicted.,female
0_157560.jpg,no,"implied nudity, intimate pose.",all
0_157740.jpg,no.,revealing attire depicted.,female.
0_158710.jpg,no,"revealing dress, alcohol promotion",female
0_163400.jpg,no,revealing workout attire,female
0_166490.jpg,no.,"intimate pose, revealing clothing.",all.
0_18590.jpg,no,provocative pose and attire.,female
0_18670.jpg,no.,"revealing attire, suggestive pose.",female.
0_19090.jpg,no;,suggestive pose and attire;,male.
0_19700.jpg,yes.,image shows cosmetics advertisement.,female.
0_20920.jpg,no,revealing underwear modeled.,female
0_20970.jpg,no,revealing clothing and pose,female
0_21010.jpg,no,"underwear advertisement, suggestive pose",female
0_21120.jpg,no,"partial nudity, suggestive pose",female
0_21140.jpg,no,implied nudity; intimate pose,all
0_23560.jpg,no.,"revealing clothing, posture.",female.
0_23570.jpg,yes.,"fully clothed, non-provocative.",female.
0_24640.jpg,yes,"fully-clothed, no sensitive imagery.",female
0_32330.jpg,no,"revealing attire, suggestive pose",female
0_32440.jpg,no,revealing attire; alcohol advertising,female
0_32670.jpg,no.,revealing attire; provocative pose.,female.
0_32820.jpg,yes,"modest clothing, no nudity",female
0_32840.jpg,yes,no revealing clothing shown.,female
0_33160.jpg,no,features swimsuit-clad woman.,female
0_34510.jpg,yes,people are modestly dressed.,all
0_34670.jpg,yes.,depiction is non-offensive.,female.
0_34910.jpg,no,"implied nudity, intimate pose.",female
0_35240.jpg,yes.,just colorful candy and makeup.,female.
0_36520.jpg,no.,dress style may be considered revealing.,female.
0_36610.jpg,no.,references menstrual cycle.,female.
0_36960.jpg,yes,just a smiling face shown.,female
